asn,asn_name,country,max_bot,max_abuse,network_count
263109,Primus Solucoes em T.I. LTDA,BR,97.967824,0,2
208906,SYNOT-,CZ,97.967512,0,2
135385,GOUGHGROUP-AS-AP Gough Group Limited,NZ,97.96748,0,1
137819,BEEKS-AS-AP Beeks Financial Cloud Japan,JP,97.959184,0,2
202524,CT,DE,97.959184,0,2
215547,MEGASPACE2,DE,97.957289,0,2
36444,NEXCESS-NET,US,97.956135,35,180
55247,IVALUA,"CA,US",97.955707,0,2
215341,HOST-ON Host-On Service Provider GmbH,"AE,DE",97.954092,25,12
215262,CLOUDNORD-UKNODE-AS,GB,97.952878,0,3
201146,LOPNET,SE,97.952794,0,2
31178,CELEONET,FR,97.944002,0,25
34309,LINK11 Link11 GmbH,DE,97.937909,0,21
204213,NETMIHAN,"CH,IR",97.9349,35,140
62371,PROTON,"CH,FR",97.934441,0,11
35752,ZABKA-PL-AS1,PL,97.932053,0,1
19240,MLCRIF,US,97.931034,0,4
22878,ASACENET1,US,97.930703,50,69
400754,GO-DADDY-COM-LLC,US,97.930393,35,260
35470,XL-AS,"IE,NL,RO",97.928861,25,109
36647,YAHOO-GQ1,US,97.928393,25,204
53780,AS-APPRIVER,US,97.927461,25,16
56650,TAVBILISIM-AUTONOMOUS_SYSTEM,TR,97.923875,0,2
201916,AVOSEND-SD,RU,97.919762,0,1
215569,TROPICSOLUTIONS AS215569,DE,97.919121,0,2
399681,SARNOVA-DC-ASN01,US,97.916667,0,1
327910,Cloud-On-Demand,ZA,97.916667,0,1
33621,CWL-30-IT-ASN,US,97.916667,0,1
4783,SYSNET-AS1 SYSTEX CORPORATION,TW,97.916667,0,4
12331,ORG-VA303-RIPE,DE,97.914212,0,6
9165,PROSODIEIBERICA-AS,ES,97.914033,35,7
201928,ASNETIYI,TR,97.91294,35,14
11117,NUYEK,US,97.908486,50,4
16254,LYRECO-AS,FR,97.907017,0,1
53625,EQUITABLE-LIFE-OF-CANADA,CA,97.902098,0,1
49424,NEWLINESOLUTIONS-AS,UZ,97.899705,25,18
199834,IPSOLUS,"BG,RO,SC",97.898833,25,5
135908,ECONET-AS-VN ECONET VIETNAM CORPORATION,VN,97.896093,35,4
44932,SABAIDEA,IR,97.894737,0,5
149377,IDNIC-KOMIT-AS-ID PT Komit Kreasi Indonesia,ID,97.894737,0,1
27814,Aeprovi,EC,97.894737,0,7
48815,CRITICALCASE,IT,97.893186,50,80
59565,CRONOS-AS,GB,97.892701,0,2
61306,LITRES-AS,RU,97.891374,0,1
205186,MQ,NL,97.887324,0,3
58989,VORTECH-AS-AP VORTECH BUSINESS SOLUTIONS PTY LTD.,AU,97.887324,0,1
13806,NCRCORP,US,97.887324,0,19
62068,SPECTRAIP SpectraIP B.V.,"DE,GB,NL",97.885114,60,121
55478,"VEDAADNET1-AS-AU Level 15, 100 arthur Street",AU,97.881356,0,4
131225,CSENERGY-AU Level 21,AU,97.881356,0,1
22147,PACKETSURGE,"CA,US",97.878788,25,28
262985,Global Networks Telecomunicacoes Informatica Ltda,BR,97.87391,0,2
38130,SAMSUNGGROUP SamsungSDS Inc.,KR,97.87234,0,5
42699,MANAGEDHOSTING-AS,DE,97.87234,0,8
